No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
1,WMT,Walmart Inc.,680.99B,93.54,-3.35%,751.44B
2,AMZN,"Amazon.com, Inc.",637.96B,199.97,-2.49%,"2,119.23B"
3,UNH,UnitedHealth Group Incorporated,400.28B,486.88,1.94%,445.35B
4,AAPL,Apple Inc.,395.76B,235.03,2.07%,"3,530.56B"
5,BRK.B,Berkshire Hathaway Inc.,371.43B,493.67,-0.84%,"1,074.20B"
6,CVS,CVS Health Corporation,370.66B,64.64,2.21%,81.50B
7,GOOGL,Alphabet Inc.,350.02B,171.27,0.13%,"2,087.78B"
8,MCK,McKesson Corporation,344.58B,642.00,1.57%,80.46B
9,XOM,Exxon Mobil Corporation,340.57B,108.69,1.98%,471.62B
10,COR,"Cencora, Inc.",303.19B,252.39,1.27%,48.94B
11,COST,Costco Wholesale Corporation,264.09B,990.43,-7.67%,439.48B
12,MSFT,Microsoft Corporation,261.80B,391.97,-2.08%,"2,913.90B"
13,CI,The Cigna Group,247.12B,313.90,2.46%,85.91B
14,CAH,"Cardinal Health, Inc.",222.28B,126.52,-0.12%,30.56B
15,CVX,Chevron Corporation,195.57B,152.46,2.44%,268.42B
16,GM,General Motors Company,187.44B,47.62,-0.40%,47.38B
17,F,Ford Motor Company,184.99B,9.53,2.80%,37.75B
18,ELV,"Elevance Health, Inc.",176.81B,401.41,1.96%,91.26B
19,JPM,JPMorgan Chase & Co.,166.78B,246.26,-2.15%,688.56B
20,META,"Meta Platforms, Inc.",164.50B,622.43,-2.87%,"1,577.01B"
21,HD,"The Home Depot, Inc.",159.51B,383.42,-2.37%,380.88B
22,WBA,"Walgreens Boots Alliance, Inc.",150.41B,11.41,7.59%,9.86B
23,CNC,Centene Corporation,147.17B,59.46,1.88%,29.49B
24,KR,The Kroger Co.,147.12B,63.49,5.35%,45.94B
25,PSX,Phillips 66,143.15B,122.13,2.39%,49.79B
26,MPC,Marathon Petroleum Corporation,139.34B,138.18,0.13%,43.19B
27,VZ,Verizon Communications Inc.,134.79B,44.75,3.69%,188.36B
28,NVDA,NVIDIA Corporation,130.50B,111.92,-0.56%,"2,730.73B"
29,VLO,Valero Energy Corporation,123.97B,126.00,1.29%,39.69B
30,CMCSA,Comcast Corporation,123.73B,36.22,3.12%,136.95B
31,T,AT&T Inc.,122.34B,26.71,1.44%,191.69B
32,HUM,Humana Inc.,117.76B,265.77,-0.35%,32.06B
33,SNEX,StoneX Group Inc.,106.99B,117.34,-2.56%,3.76B
34,TGT,Target Corporation,106.57B,114.57,-0.66%,52.19B
35,TSLA,"Tesla, Inc.",97.69B,263.31,-2.13%,846.93B
36,BAC,Bank of America Corporation,96.07B,41.35,-1.13%,314.42B
37,DELL,Dell Technologies Inc.,95.57B,92.49,-3.70%,64.53B
38,DIS,The Walt Disney Company,92.50B,104.74,-0.85%,189.35B
39,PEP,"PepsiCo, Inc.",91.85B,153.81,1.37%,210.95B
40,UPS,"United Parcel Service, Inc.",91.07B,120.88,0.32%,103.25B
41,JNJ,Johnson & Johnson,88.82B,165.36,1.27%,398.11B
42,FDX,FedEx Corporation,87.39B,247.67,-0.05%,59.65B
43,ADM,Archer-Daniels-Midland Company,85.53B,48.36,3.51%,23.20B
44,PG,The Procter & Gamble Company,84.35B,174.53,1.64%,409.25B
45,LOW,"Lowe's Companies, Inc.",83.67B,243.68,-1.03%,136.46B
46,ET,Energy Transfer LP,82.67B,17.74,-1.30%,60.85B
47,TMUS,"T-Mobile US, Inc.",81.40B,262.96,-0.10%,300.23B
48,RTX,RTX Corporation,80.74B,126.83,-0.85%,168.95B
49,SYY,Sysco Corporation,80.57B,74.80,2.18%,36.59B
50,ACI,"Albertsons Companies, Inc.",79.93B,20.96,2.12%,12.14B
51,WFC,Wells Fargo & Company,77.96B,71.94,-3.65%,236.54B
52,PGR,The Progressive Corporation,75.34B,279.81,-0.45%,164.02B
53,C,Citigroup Inc.,71.36B,70.27,-2.08%,132.41B
54,LMT,Lockheed Martin Corporation,71.04B,458.91,3.21%,108.02B
55,MET,"MetLife, Inc.",70.98B,82.24,-1.06%,56.02B
56,HCA,"HCA Healthcare, Inc.",70.60B,321.87,2.37%,79.93B
57,PRU,"Prudential Financial, Inc.",70.41B,110.20,-0.15%,39.01B
58,BA,The Boeing Company,66.52B,158.03,-4.35%,118.53B
59,CAT,Caterpillar Inc.,64.81B,340.00,1.98%,162.50B
60,MRK,"Merck & Co., Inc.",64.17B,93.95,2.14%,237.31B
61,ALL,The Allstate Corporation,64.11B,196.54,0.82%,52.09B
62,PFE,Pfizer Inc.,63.63B,26.24,2.10%,148.68B
63,IBM,International Business Machines Corporation,62.75B,246.70,2.82%,228.75B
64,DAL,"Delta Air Lines, Inc.",61.64B,53.83,-5.80%,34.54B
65,MS,Morgan Stanley,61.50B,118.61,-1.86%,191.30B
